"name" "tissue" "cell line" "cell type" "genotype" "fraction"
"GSM8383375" "DFLR LCL, latent fraction, c3-1" "Blood" "LCL" "EBV-transformed B cell" "WT" "Latent"
"GSM8383379" "DFLR LCL, latent fraction, c3-2" "Blood" "LCL" "EBV-transformed B cell" "WT" "Latent"
"GSM8383383" "DFLR LCL, latent fraction, c3-3" "Blood" "LCL" "EBV-transformed B cell" "WT" "Latent"
"GSM8383387" "DFLR LCL, latent fraction, c4-1" "Blood" "LCL" "EBV-transformed B cell" "WT" "Latent"
"GSM8383391" "DFLR LCL, latent fraction, c4-2" "Blood" "LCL" "EBV-transformed B cell" "WT" "Latent"
"GSM8383377" "DFLR LCL, late lytic fraction, c3-1" "Blood" "LCL" "EBV-transformed B cell" "WT" "Late lytic"
"GSM8383381" "DFLR LCL, late lytic fraction, c3-2" "Blood" "LCL" "EBV-transformed B cell" "WT" "Late lytic"
"GSM8383385" "DFLR LCL, late lytic fraction, c3-3" "Blood" "LCL" "EBV-transformed B cell" "WT" "Late lytic"
"GSM8383389" "DFLR LCL, late lytic fraction, c4-1" "Blood" "LCL" "EBV-transformed B cell" "WT" "Late lytic"
"GSM8383393" "DFLR LCL, late lytic fraction, c4-2" "Blood" "LCL" "EBV-transformed B cell" "WT" "Late lytic"
